"filename", "language", "JavaScript", "Properties", "CSS", "XML", "Markdown", "TypeScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide\skin.shadowdom.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide\skin.shadowdom.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5-dark\content.inline.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5-dark\content.inline.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5-dark\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5-dark\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5-dark\skin.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5-dark\skin.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5-dark\skin.shadowdom.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5-dark\skin.shadowdom.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5\content.inline.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5\content.inline.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5\skin.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5\skin.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5\skin.shadowdom.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\tinymce-5\skin.shadowdom.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\themes\silver\theme.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\tinymce.d.ts", "TypeScript", 0, 0, 0, 0, 0, 3254, 0, 0, 0, 1, 3255
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\tinymce.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\App.jsx", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\apiclient.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 5, 34
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\endpoints.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\hooks\useBookingReport.jsx", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\hooks\useFetch.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\services\authService.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\services\bookingService.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\services\chatService.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 9, 92
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\services\facilityService.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 13, 135
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\src\api\services\socialService.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
